station,lat,lon,n_years,years
01227099999,62.7166666,8.7833333,6,2015;2016;2017;2018;2019;2020
01227399999,62.8333333,8.3,1,2015
01228099999,63.85,8.4666666,6,2015;2016;2017;2018;2019;2020
01230099999,62.2666666,8.2,6,2015;2016;2017;2018;2019;2020
01232099999,62.45,7.85,6,2015;2016;2017;2018;2019;2020
01233099999,62.0833333,9.1166666,6,2015;2016;2017;2018;2019;2020
01234099999,63.3166666,9.85,6,2015;2016;2017;2018;2019;2020
01237099999,63.5166666,9.1166666,6,2015;2016;2017;2018;2019;2020
01238099999,62.1166666,9.2833333,6,2015;2016;2017;2018;2019;2020
01239099999,62.2166666,9.55,6,2015;2016;2017;2018;2019;2020
01240099999,64.1666666,9.4,6,2015;2016;2017;2018;2019;2020
01241099999,63.698908,9.604003,6,2015;2016;2017;2018;2019;2020
01242099999,63.9666666,10.2166666,6,2015;2016;2017;2018;2019;2020
01245099999,62.6,9.6666666,6,2015;2016;2017;2018;2019;2020
01250099999,62.1333333,10.0,6,2015;2016;2017;2018;2019;2020
01253099999,62.95,10.1833333,6,2015;2016;2017;2018;2019;2020
01254099999,62.9833333,10.55,6,2015;2016;2017;2018;2019;2020
01257099999,63.4166666,10.45,6,2015;2016;2017;2018;2019;2020
01259099999,64.4,10.45,6,2015;2016;2017;2018;2019;2020
01262099999,64.8,10.55,6,2015;2016;2017;2018;2019;2020
01265099999,62.2666666,10.7333333,6,2015;2016;2017;2018;2019;2020
01270099999,63.4833333,10.8833333,6,2015;2016;2017;2018;2019;2020
01271099999,63.457556,10.939872,6,2015;2016;2017;2018;2019;2020
01272099999,63.5666666,10.7,6,2015;2016;2017;2018;2019;2020
01273099999,63.2333333,11.0166666,6,2015;2016;2017;2018;2019;2020
01277099999,64.0166666,11.45,6,2015;2016;2017;2018;2019;2020
01278099999,63.7833333,11.6833333,4,2015;2016;2017;2018
01281099999,64.7333333,12.85,6,2015;2016;2017;2018;2019;2020
01282099999,64.85,11.2333333,6,2015;2016;2017;2018;2019;2020
01287099999,62.6833333,11.8166666,6,2015;2016;2017;2018;2019;2020
01288099999,62.5666666,11.3833333,6,2015;2016;2017;2018;2019;2020
01290099999,64.4666667,11.5833333,6,2015;2016;2017;2018;2019;2020
01291099999,64.5333333,12.3833333,6,2015;2016;2017;2018;2019;2020
01293099999,63.4166666,11.7333333,6,2015;2016;2017;2018;2019;2020
01298099999,64.45,13.7166666,5,2015;2016;2017;2018;2019
01300099999,61.2,2.2666666,6,2015;2016;2017;2018;2019;2020
01300599999,61.25,1.85,6,2015;2016;2017;2018;2019;2020
01304099999,61.5666666,4.6833333,6,2015;2016;2017;2018;2019;2020
01307099999,60.75,4.7166666,6,2015;2016;2017;2018;2019;2020
01308099999,61.3,5.05,6,2015;2016;2017;2018;2019;2020
01310099999,61.583611,5.024722,6,2015;2016;2017;2018;2019;2020
01311099999,60.293386,5.218142,6,2015;2016;2017;2018;2019;2020
01314099999,60.5166666,5.7166666,6,2015;2016;2017;2018;2019;2020
01315099999,60.6333333,6.1,6,2015;2016;2017;2018;2019;2020
01317099999,60.3833333,5.3333333,6,2015;2016;2017;2018;2019;2020
01318099999,61.7833333,6.1833333,3,2015;2016;2017
01319099999,61.0333333,5.3833333,6,2015;2016;2017;2018;2019;2020
01320099999,61.8333333,6.1166667,6,2015;2016;2017;2018;2019;2020
01321099999,61.9,6.55,6,2015;2016;2017;2018;2019;2020
01322099999,61.4666666,5.9166666,3,2015;2016;2017
01323099999,61.392503,5.764167,6,2015;2016;2017;2018;2019;2020
01326099999,60.85,5.9833333,6,2015;2016;2017;2018;2019;2020
01327099999,60.3833333,5.9666666,6,2015;2016;2017;2018;2019;2020
01329099999,60.35,6.2666666,6,2015;2016;2017;2018;2019;2020
01332099999,61.43,6.77,6,2015;2016;2017;2018;2019;2020
01336099999,60.65,6.2166666,6,2015;2016;2017;2018;2019;2020
01337099999,60.6333333,6.4333333,6,2015;2016;2017;2018;2019;2020
01338099999,61.1666666,6.65,6,2015;2016;2017;2018;2019;2020
01340099999,60.42,7.28,6,2015;2016;2017;2018;2019;2020
01342099999,60.3166666,6.65,6,2015;2016;2017;2018;2019;2020
01344099999,60.7,6.95,6,2015;2016;2017;2018;2019;2020
01345099999,60.7166666,7.2166666,6,2015;2016;2017;2018;2019;2020
01346099999,60.65,7.2666666,6,2015;2016;2017;2018;2019;2020
01347099999,61.156111,7.136614,6,2015;2016;2017;2018;2019;2020
01350099999,60.6,7.5333333,6,2015;2016;2017;2018;2019;2020
01352099999,60.1833333,7.4833333,6,2015;2016;2017;2018;2019;2020
01355099999,61.1,7.5,6,2015;2016;2017;2018;2019;2020
01357099999,60.8666666,8.5166666,6,2015;2016;2017;2018;2019;2020
01358099999,60.85,8.6,6,2015;2016;2017;2018;2019;2020
01359099999,60.5333333,8.2,6,2015;2016;2017;2018;2019;2020
01360099999,61.9,7.9,6,2015;2016;2017;2018;2019;2020
01361099999,62.0166666,7.6666666,6,2015;2016;2017;2018;2019;2020
01362099999,61.6666666,8.3666666,6,2015;2016;2017;2018;2019;2020
01364099999,61.1833333,8.1166666,6,2015;2016;2017;2018;2019;2020
01365099999,61.2505556,8.9166666,6,2015;2016;2017;2018;2019;2020
01366099999,61.5666666,8.0,6,2015;2016;2017;2018;2019;2020
01367099999,60.9833333,9.2166666,6,2015;2016;2017;2018;2019;2020
01368099999,61.015556,9.288056,6,2015;2016;2017;2018;2019;2020
01369099999,60.9166666,9.2833333,3,2015;2016;2017
01370099999,61.5166666,9.4,6,2015;2016;2017;2018;2019;2020
01371099999,61.1166666,9.0666666,6,2015;2016;2017;2018;2019;2020
01373099999,60.5666666,9.1333333,6,2015;2016;2017;2018;2019;2020
01374099999,60.9333333,10.0333333,6,2015;2016;2017;2018;2019;2020
01375099999,61.4666666,10.1333333,6,2015;2016;2017;2018;2019;2020
01375599999,61.0333333,2.0333333,6,2015;2016;2017;2018;2019;2020
01376099999,60.3833333,9.6,6,2015;2016;2017;2018;2019;2020
01378099999,61.1,10.4666666,6,2015;2016;2017;2018;2019;2020
01380099999,61.65,10.1166666,6,2015;2016;2017;2018;2019;2020
01381099999,60.7,10.8666666,6,2015;2016;2017;2018;2019;2020
01382099999,60.7666666,10.8,6,2015;2016;2017;2018;2019;2020
01383099999,61.4,11.0802778,6,2015;2016;2017;2018;2019;2020
01384099999,60.193917,11.100361,6,2015;2016;2017;2018;2019;2020
01385099999,60.8166666,11.0666666,6,2015;2016;2017;2018;2019;2020
01386099999,60.8,11.1,6,2015;2016;2017;2018;2019;2020
01387099999,61.45,10.1833333,6,2015;2016;2017;2018;2019;2020
01389099999,61.1833333,11.3666666,6,2015;2016;2017;2018;2019;2020
01392099999,60.6166666,12.0166666,6,2015;2016;2017;2018;2019;2020
01393099999,61.8833333,12.0333333,6,2015;2016;2017;2018;2019;2020
01397099999,61.3,12.2666666,6,2015;2016;2017;2018;2019;2020
01400099999,56.55,3.2166666,6,2015;2016;2017;2018;2019;2020
01403099999,59.3,4.8666666,6,2015;2016;2017;2018;2019;2020
01403399999,56.55,3.25,6,2015;2016;2017;2018;2019;2020
01406099999,59.9166666,5.0666666,6,2015;2016;2017;2018;2019;2020
01408099999,59.345267,5.208364,6,2015;2016;2017;2018;2019;2020
01411099999,59.0666666,5.4166666,6,2015;2016;2017;2018;2019;2020
01412099999,58.65,5.5666666,6,2015;2016;2017;2018;2019;2020
01413099999,58.75,5.65,6,2015;2016;2017;2018;2019;2020
01414099999,59.4333333,5.0666666,6,2015;2016;2017;2018;2019;2020
01415099999,58.876667,5.637778,6,2015;2016;2017;2018;2019;2020
01416099999,58.95,5.7333333,6,2015;2016;2017;2018;2019;2020
01417099999,59.4833333,5.75,6,2015;2016;2017;2018;2019;2020
01418099999,60.0166666,5.2,6,2015;2016;2017;2018;2019;2020
01419099999,59.05,6.1166666,6,2015;2016;2017;2018;2019;2020
01422099999,59.1666666,6.0333333,6,2015;2016;2017;2018;2019;2020
01424099999,59.65,6.3666666,6,2015;2016;2017;2018;2019;2020
01425099999,58.5166666,6.5166666,6,2015;2016;2017;2018;2019;2020
01426099999,58.4333333,5.8666666,6,2015;2016;2017;2018;2019;2020
01427099999,58.1166666,6.5666666,6,2015;2016;2017;2018;2019;2020
01428199999,59.1108,2.8458,6,2015;2016;2017;2018;2019;2020
