station,lat,lon,n_years_ok,total_hours,common_hours,has_valid_month_1pt_fixed12,has_valid_month_2pt_fixed_00_12,has_valid_month_1pt_daily_mean,has_valid_month_2pt_dynamic,has_valid_month_baseline,has_valid_month_scaled
01212099999,62.8666666,6.5333333,6,49558,0,False,False,False,False,False,False
01214099999,62.65,6.7666666,6,48395,47848,True,True,True,True,True,True
01217099999,62.744722,7.2625,6,52485,0,False,False,False,False,False,False
01218099999,62.2333333,7.4166666,6,51288,49644,True,True,True,True,True,True
01220099999,62.45,7.7666666,6,46224,43825,True,True,True,True,True,True
01221099999,63.05,9.0833333,6,46349,45652,True,True,True,True,True,True
01223099999,63.111781,7.824522,6,52540,0,False,False,False,False,False,False
01224099999,62.4666666,6.2166666,6,47089,0,False,False,False,False,False,False
01225099999,63.5166666,7.95,6,49369,0,False,False,False,False,False,False
01227099999,62.7166666,8.7833333,6,51606,51072,True,True,True,True,True,True
01227399999,62.8333333,8.3,1,2,0,False,False,False,False,False,False
01228099999,63.85,8.4666666,6,46593,0,False,False,False,False,False,False
01230099999,62.2666666,8.2,6,42534,39950,True,True,True,True,True,True
01232099999,62.45,7.85,6,51167,49860,True,True,True,True,True,True
01233099999,62.0833333,9.1166666,6,50334,48795,True,True,True,True,True,True
01234099999,63.3166666,9.85,6,52026,51877,True,True,True,True,True,True
01237099999,63.5166666,9.1166666,6,52001,51288,True,True,True,True,True,True
01238099999,62.1166666,9.2833333,6,47474,45256,True,True,True,True,True,True
01239099999,62.2166666,9.55,6,48746,47143,True,True,True,True,True,True
01240099999,64.1666666,9.4,6,41314,0,False,False,False,False,False,False
01241099999,63.698908,9.604003,6,52469,0,False,False,False,False,False,False
01242099999,63.9666666,10.2166666,6,49233,44975,True,True,True,True,True,True
01245099999,62.6,9.6666666,6,51184,49751,True,True,True,True,True,True
01250099999,62.1333333,10.0,6,47397,45307,True,True,True,True,True,True
01253099999,62.95,10.1833333,6,49676,48426,True,True,True,True,True,True
01254099999,62.9833333,10.55,6,46989,44719,True,True,True,True,True,True
01257099999,63.4166666,10.45,6,48917,46676,True,True,True,True,True,True
01259099999,64.4,10.45,6,41680,0,False,False,False,False,False,False
01262099999,64.8,10.55,6,35295,0,False,False,False,False,False,False
01265099999,62.2666666,10.7333333,6,49616,47429,True,True,True,True,True,True
01270099999,63.4833333,10.8833333,6,51773,51335,True,True,True,True,True,True
01271099999,63.457556,10.939872,6,52492,52275,True,True,True,True,True,True
01272099999,63.5666666,10.7,6,47495,0,False,False,False,False,False,False
01273099999,63.2333333,11.0166666,6,49277,47857,True,True,True,True,True,True
01277099999,64.0166666,11.45,6,46609,41134,True,True,True,True,True,True
01278099999,63.7833333,11.6833333,4,5505,0,True,False,True,True,True,True
01281099999,64.7333333,12.85,6,49009,40297,True,True,True,True,True,True
01282099999,64.85,11.2333333,6,50409,0,False,False,False,False,False,False
01287099999,62.6833333,11.8166666,6,48531,44655,True,True,True,True,True,True
01288099999,62.5666666,11.3833333,6,48487,46288,True,True,True,True,True,True
01290099999,64.4666667,11.5833333,6,49834,43689,True,True,True,True,True,True
01291099999,64.5333333,12.3833333,6,47622,41805,True,True,True,True,True,True
01293099999,63.4166666,11.7333333,6,49072,48277,True,True,True,True,True,True
01298099999,64.45,13.7166666,5,4619,0,True,False,True,True,True,True
01300099999,61.2,2.2666666,6,51786,0,False,False,False,False,False,False
01300599999,61.25,1.85,6,32947,0,False,False,False,False,False,False
01304099999,61.5666666,4.6833333,6,48820,0,False,False,False,False,False,False
01307099999,60.75,4.7166666,6,46531,0,False,False,False,False,False,False
01308099999,61.3,5.05,6,47510,0,False,False,False,False,False,False
01310099999,61.583611,5.024722,6,52460,0,False,False,False,False,False,False
01311099999,60.293386,5.218142,6,52494,52352,True,True,True,True,True,True
01314099999,60.5166666,5.7166666,6,49152,47114,True,True,True,True,True,True
01315099999,60.6333333,6.1,6,49503,47428,True,True,True,True,True,True
01317099999,60.3833333,5.3333333,6,51962,50924,True,True,True,True,True,True
01318099999,61.7833333,6.1833333,3,3206,0,True,False,True,True,True,True
01319099999,61.0333333,5.3833333,6,47613,46726,True,True,True,True,True,True
01320099999,61.8333333,6.1166667,6,49803,45879,True,True,True,True,True,True
01321099999,61.9,6.55,6,50267,43448,True,True,True,True,True,True
01322099999,61.4666666,5.9166666,3,3189,0,True,False,True,True,True,True
01323099999,61.392503,5.764167,6,49952,46365,True,True,True,True,True,True
01326099999,60.85,5.9833333,6,48279,47366,True,True,True,True,True,True
01327099999,60.3833333,5.9666666,6,49235,47163,True,True,True,True,True,True
01329099999,60.35,6.2666666,6,51495,51039,True,True,True,True,True,True
01332099999,61.43,6.77,6,49359,48891,True,True,True,True,True,True
01336099999,60.65,6.2166666,6,46909,44948,True,True,True,True,True,True
01337099999,60.6333333,6.4333333,6,51534,51065,True,True,True,True,True,True
01338099999,61.1666666,6.65,6,50607,49249,True,True,True,True,True,True
01340099999,60.42,7.28,6,49965,47957,True,True,True,True,True,True
01342099999,60.3166666,6.65,6,51727,51223,True,True,True,True,True,True
01344099999,60.7,6.95,6,47991,46050,True,True,True,True,True,True
01345099999,60.7166666,7.2166666,6,47186,44932,True,True,True,True,True,True
01346099999,60.65,7.2666666,6,48459,46441,True,True,True,True,True,True
01347099999,61.156111,7.136614,6,50838,48533,True,True,True,True,True,True
01350099999,60.6,7.5333333,6,47541,41177,True,True,True,True,True,True
01352099999,60.1833333,7.4833333,6,43281,42052,True,True,True,True,True,True
01355099999,61.1,7.5,6,49878,48457,True,True,True,True,True,True
01357099999,60.8666666,8.5166666,6,49280,47241,True,True,True,True,True,True
01358099999,60.85,8.6,6,51268,50445,True,True,True,True,True,True
01359099999,60.5333333,8.2,6,49282,47945,True,True,True,True,True,True
01360099999,61.9,7.9,6,9340,0,True,False,True,True,True,True
01361099999,62.0166666,7.6666666,6,51314,49917,True,True,True,True,True,True
01362099999,61.6666666,8.3666666,6,49106,47777,True,True,True,True,True,True
01364099999,61.1833333,8.1166666,6,50537,48639,True,True,True,True,True,True
01365099999,61.2505556,8.9166666,6,49980,48212,True,True,True,True,True,True
01366099999,61.5666666,8.0,6,50598,44869,True,True,True,True,True,True
01367099999,60.9833333,9.2166666,6,49275,46969,True,True,True,True,True,True
